episode_id,split,final_success,all_formats_valid,all_actions_valid,no_repeated_fallback,bayes_state,stepwise_bayes_state
pick_heat_then_place_in_recep-9ba86fc601cc,calibration,0,True,True,True,0.6612025399793379,0.15108240465085368
pick_clean_then_place_in_recep-444b9c981f5b,calibration,0,False,False,True,0.24569070455027187,0.6271090463069601
pick_heat_then_place_in_recep-cb7a38763d56,calibration,0,True,False,True,0.3781107841901953,0.5967171633528712
pick_two_obj_and_place-5e6f3921c9f7,calibration,1,False,False,True,0.24569070455027187,0.8612878180420945
pick_clean_then_place_in_recep-1bb31cc0cb7b,test,0,True,True,False,0.15503806385211436,1e-06
pick_and_place_simple-5a568ee34b6e,calibration,1,True,True,True,0.6612025399793379,0.2452961256546197
pick_and_place_simple-27bc519b2706,test,1,True,False,True,0.3781107841901953,0.23214047938479787
pick_two_obj_and_place-22c594926d87,calibration,0,False,False,True,0.24569070455027187,0.9999762155475241
pick_and_place_simple-6cdc613d983c,test,0,False,False,True,0.24569070455027187,0.9993095649512425
pick_and_place_simple-a7f2ece576b4,calibration,0,False,False,True,0.24569070455027187,0.45522953280365397
pick_two_obj_and_place-261a13fe7353,test,1,True,True,True,0.6612025399793379,0.251913806289204
pick_clean_then_place_in_recep-3c28025f1e1a,test,0,True,False,True,0.3781107841901953,0.49205485233278395
pick_cool_then_place_in_recep-b991f24f3372,test,0,False,False,False,0.029712986673990666,0.08863827052142204
pick_clean_then_place_in_recep-91b495ba6de6,test,0,True,False,True,0.3781107841901953,0.2137364468251485
pick_cool_then_place_in_recep-00a2b727b268,calibration,0,True,False,False,0.05407182444548706,0.029285479608869264
pick_and_place_simple-6fc10dd4865d,calibration,0,False,False,True,0.24569070455027187,0.3536230926709113
pick_cool_then_place_in_recep-1c46fe610676,calibration,0,False,False,True,0.24569070455027187,0.8875951196582894
pick_two_obj_and_place-e1a81f0c5ef2,test,1,True,True,True,0.6612025399793379,0.27246598681653755
pick_two_obj_and_place-7b5c4ade48d5,calibration,1,False,False,True,0.24569070455027187,0.9393199919362051
pick_and_place_simple-42007ffb807b,test,0,True,False,True,0.3781107841901953,0.38808437545397556
pick_and_place_simple-a707ea7a2feb,calibration,0,False,False,False,0.029712986673990666,0.07882604030168905
pick_and_place_simple-22b554a2eda4,calibration,0,True,True,True,0.6612025399793379,0.15108240465085368
look_at_obj_in_light-06ee93788541,test,1,True,True,True,0.6612025399793379,0.18570850667247202
look_at_obj_in_light-e101fdd511e0,calibration,1,True,False,True,0.3781107841901953,0.37212050502112476
pick_and_place_simple-9cf11b931ae3,test,1,True,False,True,0.3781107841901953,0.7153838259490055
pick_clean_then_place_in_recep-2651ef115437,calibration,0,True,True,False,0.15503806385211436,0.019368875199331212
pick_and_place_simple-f72b0ef82385,test,1,True,True,True,0.6612025399793379,0.2655000210179616
pick_two_obj_and_place-bffac961021b,test,0,False,False,True,0.24569070455027187,0.8875951196582897
pick_two_obj_and_place-2219ab229198,calibration,0,True,False,True,0.3781107841901953,0.38808437545397567
pick_two_obj_and_place-11f0876e7ff8,calibration,0,True,False,True,0.3781107841901953,0.5967171633528715
pick_heat_then_place_in_recep-4e656a57bf2c,calibration,1,True,True,True,0.6612025399793379,0.2795451599581686
pick_cool_then_place_in_recep-5c25470a1884,test,0,True,False,True,0.3781107841901953,0.2137364468251485
pick_and_place_simple-fc5481a68df7,calibration,1,False,False,True,0.24569070455027187,0.5439529276099949
pick_cool_then_place_in_recep-5aaae8a1e5ee,test,0,False,False,False,0.029712986673990666,0.24839513777251554
pick_heat_then_place_in_recep-ff87beba7cd4,test,0,True,True,True,0.6612025399793379,0.15108240465085368
pick_and_place_simple-eb78a8058ae2,calibration,1,True,True,True,0.6612025399793379,0.30895558929209843
pick_and_place_simple-ad9b32bcfd98,calibration,1,True,True,True,0.6612025399793379,0.22001625873483144
pick_clean_then_place_in_recep-d7c9fe9f2079,test,0,False,False,True,0.24569070455027187,0.9885715931183476
pick_cool_then_place_in_recep-286c45d8209f,calibration,0,True,False,True,0.3781107841901953,0.2137364468251485
pick_cool_then_place_in_recep-2ba65ccadb93,calibration,0,True,False,True,0.3781107841901953,0.3880843754539762
pick_heat_then_place_in_recep-0a769f858555,calibration,1,False,False,True,0.24569070455027187,0.9942885593976397
look_at_obj_in_light-10c7303f0926,test,1,True,True,True,0.6612025399793379,0.23879679621151342
pick_two_obj_and_place-b639132c6e49,test,0,True,False,True,0.3781107841901953,0.2137364468251485
pick_heat_then_place_in_recep-af13454247c6,test,1,False,False,True,0.24569070455027187,0.9870308733245767
pick_two_obj_and_place-2270fcfb7b57,calibration,0,False,False,False,0.029712986673990666,0.15728652900954976
pick_cool_then_place_in_recep-a2f21caf0de8,calibration,0,False,False,False,0.029712986673990666,0.467051835357972
pick_and_place_simple-36a8dafb5d9a,calibration,0,False,False,False,0.029712986673990666,1e-06
pick_clean_then_place_in_recep-708e21cd7b9a,calibration,1,True,False,True,0.3781107841901953,0.34764324878229574
pick_heat_then_place_in_recep-78294afc4a14,test,0,True,False,False,0.05407182444548706,0.8295045124875687
look_at_obj_in_light-6432a5b3ae38,test,1,True,True,True,0.6612025399793379,0.30895558929209843
pick_cool_then_place_in_recep-313ac5e70a23,calibration,0,True,False,True,0.3781107841901953,0.2137364468251485
pick_and_place_simple-2bbefcfdf265,test,0,True,False,False,0.05407182444548706,0.0050881263845531126
pick_clean_then_place_in_recep-61881d19114c,calibration,1,True,True,True,0.6612025399793379,0.28673577264323385
pick_clean_then_place_in_recep-306556bae93c,test,1,True,True,True,0.6612025399793379,0.29403585897383777
pick_cool_then_place_in_recep-251a997d8515,calibration,0,True,True,True,0.6612025399793379,0.15108240465085368
pick_clean_then_place_in_recep-bbfaf03e5efb,calibration,0,True,False,True,0.3781107841901953,0.2137364468251485
pick_two_obj_and_place-8de987a49135,calibration,0,True,True,True,0.6612025399793379,0.15108240465085368
pick_clean_then_place_in_recep-239631d04378,test,0,True,True,True,0.6612025399793379,0.15108240465085368
look_at_obj_in_light-fdfc7131f9f8,test,1,True,True,False,0.15503806385211436,0.025553276517669532
pick_and_place_simple-defc88b61304,calibration,0,True,True,False,0.15503806385211436,1.0381452711001422e-06
pick_and_place_simple-74711bddf92f,calibration,1,True,True,True,0.6612025399793379,0.29403585897383777
pick_clean_then_place_in_recep-8fe5065010b7,calibration,0,False,False,True,0.24569070455027187,0.5607054491396831
