split,target,uq_method,model,prefix,n,n_success,auroc,auprc,prr_at_0_5,brier,nll,ece
test,all,none,prior,,50,20,0.5,1.0,-0.16302792916590855,0.24359999999999996,0.6808331309257715,0.06
test,all,stepwise_critics,stepwise_bayes_state,,50,20,0.5833333333333334,0.42344051096801316,0.5690732657959413,0.3417785302452435,1.1141715816542834,0.32955334628431754
test,all,critics,bayes_state,,50,20,0.8225,0.9011681584773129,0.6743729027404939,0.1632491482613985,0.4968305653934244,0.08803381588087272
test,thought,perplexity,feature_last,,50,20,0.5066666666666667,0.41449604730031736,0.05930081967607657,0.2473129058778608,0.6887365150940867,0.10531819650319198
test,thought,perplexity,feature_mean,,50,20,0.47833333333333333,0.41221666094560233,-0.07313417932453839,0.24347945296728116,0.6805617415196968,0.05954668145080144
test,thought,perplexity,feature_min,,50,20,0.7916666666666666,0.7349236757205648,0.5571260513049763,0.1911844981962617,0.5628917104116311,0.15697028496750765
test,thought,perplexity,feature_max,,50,20,0.72,0.6773485973760411,0.3922122006953446,0.22118017024241518,0.6873090562279617,0.1978216484035731
test,thought,perplexity,feature_median,,50,20,0.4666666666666667,0.4109294192712084,-0.040407998482050234,0.244023106923637,0.6815055482886743,0.05506794743863057
test,thought,perplexity,feature_ewma,,50,20,0.495,0.3826187254832837,0.1801234582492805,0.247037288059853,0.6867144225681969,0.15843896108987104
test,thought,perplexity,feature_fraction_uncertain,,50,20,0.57,0.7299678869793611,-0.12621139897571287,0.24628417785872136,0.7053334540516729,0.12379416228342481
test,thought,perplexity,feature_last_k_mean,,50,20,0.475,0.3676389521228192,0.16847588655992735,0.25089647146580285,0.6953578296238674,0.14917868321934014
test,thought,perplexity,feature_cvar,,50,20,0.6433333333333333,0.5458881783790884,0.2051183393359145,0.23357329125713847,0.7048828469312736,0.15810408664143535
test,thought,perplexity,binary_bayes,,50,20,0.5058333333333334,0.3880076605717925,0.1379031068165774,0.2638261267200087,0.7241909294913503,0.1765801109727367
test,thought,perplexity,binary_bayes_sep,,50,20,0.5483333333333333,0.4067521220446092,0.3391798474843475,0.2828911474141184,0.7751153917355137,0.22971724924213438
test,thought,perplexity,binary_bayes_lr_pos,,50,20,0.5816666666666667,0.42412351503207535,0.46840167235826635,0.2754282323047907,0.7507838891809,0.22618831019240843
test,thought,perplexity,binary_bayes_lr_neg,,50,20,0.59,0.4257560721185819,0.4837832085634491,0.2563411404974348,0.6909793222535048,0.27081740717967456
test,thought,perplexity,binary_bayes_double,,50,20,0.6016666666666667,0.43455785954848986,0.4629315290406671,0.2978621914008801,0.8525931654766097,0.28672965023627667
test,thought,perplexity,continuous_bayes,,50,20,0.6566666666666666,0.49786137816841497,0.4833063014426601,0.2766850407411537,0.9246541678549453,0.23280763077754152
test,thought,perplexity,tempered_continuous_bayes,,50,20,0.6566666666666666,0.49786137816841497,0.4833063014426601,0.23311574623252654,0.6476633696888833,0.13476774872882713
test,thought,perplexity,bayes_state,,50,20,0.8225,0.9011681584773129,0.6743729027404939,0.1632491482613985,0.4968305653934244,0.08803381588087272
test,thought,perplexity,bayes_state_plus_binary,,50,20,0.8016666666666666,0.686477220391694,0.7297490602459724,0.17751654651523618,0.5243122096600848,0.12185143942421761
test,thought,perplexity,bayes_state_plus_sep,,50,20,0.7983333333333333,0.6833655554628242,0.7128394207686813,0.17868453148144478,0.5320417897911189,0.12325412903959851
test,thought,perplexity,bayes_state_plus_lr_pos,,50,20,0.8283333333333334,0.7329816714196977,0.7545816954857112,0.16986382847410916,0.5091130480674743,0.10586275544045563
test,thought,perplexity,bayes_state_plus_lr_neg,,50,20,0.8183333333333334,0.6696337250922335,0.7379687979875034,0.1696688595540624,0.500951035819171,0.15408373211634985
test,thought,perplexity,bayes_state_plus_double,,50,20,0.7433333333333333,0.5579736510738444,0.7052743069053887,0.20669389442425282,0.60568429768932,0.21411331282240345
test,thought,perplexity,bayes_state_plus_continuous,,50,20,0.7566666666666667,0.5863814460540246,0.7125367927671994,0.22830670506565684,0.7666168350578304,0.19000973353180184
test,thought,perplexity,bayes_state_plus_tempered,,50,20,0.8266666666666667,0.6894756278720473,0.8399913272090012,0.1654708732960959,0.4851464774608839,0.06042745702268748
test,thought,perplexity,stepwise_bayes_state,,50,20,0.5833333333333334,0.42344051096801316,0.5690732657959413,0.3417785302452435,1.1141715816542834,0.32955334628431754
test,thought,perplexity,stepwise_bayes_state_plus_binary,,50,20,0.5433333333333333,0.40253062572446296,0.44406954744432126,0.3562426320499349,1.115992222119957,0.3874079741412095
test,thought,perplexity,stepwise_bayes_state_plus_sep,,50,20,0.5716666666666667,0.41740731486014726,0.49239425491959377,0.35825502526288355,1.1219813451321345,0.40128240141233124
test,thought,perplexity,stepwise_bayes_state_plus_lr_pos,,50,20,0.5966666666666667,0.4294902670908566,0.5698230268541903,0.3447237628055003,1.0915810771278054,0.36148397841527946
test,thought,perplexity,stepwise_bayes_state_plus_lr_neg,,50,20,0.5533333333333333,0.41432837589510624,0.4905152159481991,0.3303768857502039,1.003769380908086,0.34921371783354427
test,thought,perplexity,stepwise_bayes_state_plus_double,,50,20,0.5983333333333334,0.4378595568613769,0.5628793313903352,0.3248967414864961,1.0374994338194008,0.3428403798885574
test,thought,perplexity,stepwise_bayes_state_plus_continuous,,50,20,0.59,0.44013670675597993,0.4619923495065202,0.31395054595988453,1.120093168587395,0.29437526698078176
test,thought,perplexity,stepwise_bayes_state_plus_tempered,,50,20,0.5883333333333334,0.4262680761858258,0.5558274467882611,0.3422314293926237,1.0586879847119164,0.35962741575900703
test,thought,sum_logprob,feature_last,,50,20,0.7166666666666667,0.5435144452737932,0.6303590792085195,0.23925226498289234,0.6701305876343122,0.19752076323010662
test,thought,sum_logprob,feature_mean,,50,20,0.7966666666666666,0.7444700308926652,0.5492021136256081,0.2113332496834607,0.6104830814521535,0.1542286132946708
test,thought,sum_logprob,feature_min,,50,20,0.4266666666666667,0.45635478556693815,-0.4142873858303761,0.24628963010414234,0.6869480807998112,0.053252035778390494
test,thought,sum_logprob,feature_max,,50,20,0.82,0.7651467623255549,0.7861714135814939,0.18513406813933997,0.5463817975955491,0.12874576267034268
test,thought,sum_logprob,feature_median,,50,20,0.8266666666666667,0.7576416520538574,0.7453505077640425,0.2099559293113546,0.6071522414770859,0.11738315733842955
test,thought,sum_logprob,feature_ewma,,50,20,0.79,0.6719202714000885,0.7006829682957327,0.22185109725449692,0.6311187187623613,0.24048142925122018
test,thought,sum_logprob,feature_fraction_uncertain,,50,20,0.6325,0.6614857141671331,0.07312736465538311,0.22551661319887154,0.6437610122292483,0.10044414770292547
test,thought,sum_logprob,feature_last_k_mean,,50,20,0.8,0.6745446478186417,0.6936115071148107,0.22544842461244585,0.6397584013220101,0.17877047409213218
test,thought,sum_logprob,feature_cvar,,50,20,0.665,0.601596651808839,0.2838878453381022,0.23304060366684184,0.6580837990742271,0.10004290237267735
test,thought,sum_logprob,binary_bayes,,50,20,0.6933333333333334,0.5333513767860849,0.6445411745363848,0.221702095513003,0.6273037699288361,0.12219695766553898
test,thought,sum_logprob,binary_bayes_sep,,50,20,0.775,0.6285197525627759,0.8105974230941977,0.19504502196818052,0.5605806475243392,0.15699513407791046
test,thought,sum_logprob,binary_bayes_lr_pos,,50,20,0.4766666666666667,0.36654611842580914,0.18380081983165497,0.2693641286093145,0.7355431782198067,0.22053735182994963
test,thought,sum_logprob,binary_bayes_lr_neg,,50,20,0.31166666666666665,0.3066319766828827,-0.23546264427602853,0.2673597224041253,0.7323512315530276,0.20457835533700744
test,thought,sum_logprob,binary_bayes_double,,50,20,0.36833333333333335,0.3240800827973739,-0.03412618612427823,0.29873760737258964,0.8041985077800606,0.2907735655713735
test,thought,sum_logprob,continuous_bayes,,50,20,0.855,0.6979240240193094,0.9247031143406883,0.25628852584376705,0.9222449293116736,0.2757607224293679
test,thought,sum_logprob,tempered_continuous_bayes,,50,20,0.855,0.6979240240193094,0.9247031143406883,0.20849924302994843,0.5865886180710972,0.23103710474090985
test,thought,sum_logprob,bayes_state,,50,20,0.8225,0.9011681584773129,0.6743729027404939,0.1632491482613985,0.4968305653934244,0.08803381588087272
test,thought,sum_logprob,bayes_state_plus_binary,,50,20,0.9216666666666666,0.9190381493506493,0.8374407183750964,0.12328874437176468,0.40682775165205626,0.1554826543100944
test,thought,sum_logprob,bayes_state_plus_sep,,50,20,0.94,0.8855257892692103,0.9791643211884793,0.1083594011681279,0.3616970260445913,0.1597367458130068
test,thought,sum_logprob,bayes_state_plus_lr_pos,,50,20,0.7916666666666666,0.6704324838440692,0.6273859540049774,0.1775479242928395,0.5338582130219822,0.1289810222580157
test,thought,sum_logprob,bayes_state_plus_lr_neg,,50,20,0.77,0.6496715724425044,0.5563913834746566,0.18005060445533969,0.5399948594679974,0.15462921270914085
test,thought,sum_logprob,bayes_state_plus_double,,50,20,0.75,0.6414631778787859,0.5202912088158075,0.19941028461602633,0.5897572456525417,0.14482518255324725
test,thought,sum_logprob,bayes_state_plus_continuous,,50,20,0.9066666666666666,0.8242825459583267,0.9330659768482292,0.1721035258656628,0.6468414806840965,0.18576282003621297
test,thought,sum_logprob,bayes_state_plus_tempered,,50,20,0.9566666666666667,0.9486191222570532,0.9693080903760212,0.11346503035887355,0.37013669428307944,0.17599396945345716
test,thought,sum_logprob,stepwise_bayes_state,,50,20,0.5833333333333334,0.42344051096801316,0.5690732657959413,0.3417785302452435,1.1141715816542834,0.32955334628431754
test,thought,sum_logprob,stepwise_bayes_state_plus_binary,,50,20,0.6433333333333333,0.4598618056734871,0.6866078588353705,0.3256477349080146,1.0690387571388253,0.3528431371562091
test,thought,sum_logprob,stepwise_bayes_state_plus_sep,,50,20,0.64,0.46131565612836123,0.724292222756354,0.30208121509710273,0.9816075482054673,0.350769576926461
test,thought,sum_logprob,stepwise_bayes_state_plus_lr_pos,,50,20,0.545,0.4010641374760118,0.43102895194891155,0.3431038580581765,1.1127042716051379,0.340694082618338
test,thought,sum_logprob,stepwise_bayes_state_plus_lr_neg,,50,20,0.5716666666666667,0.41733556504461927,0.4439796461104662,0.346601618901208,1.12960319336007,0.3592744736814345
test,thought,sum_logprob,stepwise_bayes_state_plus_double,,50,20,0.5183333333333333,0.38769326947910876,0.40653723138274456,0.3493304927434404,1.1340740938106841,0.3501964000632071
test,thought,sum_logprob,stepwise_bayes_state_plus_continuous,,50,20,0.815,0.6716433324374875,0.8522084764565774,0.27794092661767045,1.1148610510113073,0.2874182869231323
test,thought,sum_logprob,stepwise_bayes_state_plus_tempered,,50,20,0.68,0.5184470970860705,0.7530023424705263,0.3118533218526375,0.9805527318535256,0.34422754157940927
test,thought,mean_token_logprob,feature_last,,50,20,0.5066666666666667,0.41449604730031736,0.05930081967607657,0.2474154391204744,0.6888190551883144,0.11438133168200373
test,thought,mean_token_logprob,feature_mean,,50,20,0.49,0.41738342205827206,-0.057145182673218026,0.24301564943740536,0.6794806475107282,0.05842471552491668
test,thought,mean_token_logprob,feature_min,,50,20,0.72,0.6773485973760411,0.3922122006953446,0.2204281971475716,0.6783904507969589,0.19700452335892746
test,thought,mean_token_logprob,feature_max,,50,20,0.7916666666666666,0.7349236757205648,0.5571260513049763,0.19142336597028392,0.5630725458159299,0.15656253794768238
test,thought,mean_token_logprob,feature_median,,50,20,0.4666666666666667,0.4109294192712084,-0.040407998482050234,0.24397873676186585,0.6813209017581591,0.05435108538069375
test,thought,mean_token_logprob,feature_ewma,,50,20,0.495,0.38251067260029475,0.18222783868418405,0.2470391156294084,0.6860202222765569,0.12641321694359064
test,thought,mean_token_logprob,feature_fraction_uncertain,,50,20,0.57,0.7299678869793611,-0.12621139897571287,0.24628417785872136,0.7053334540516729,0.12379416228342481
test,thought,mean_token_logprob,feature_last_k_mean,,50,20,0.4766666666666667,0.3682345973451454,0.17737828858408286,0.2512237179120448,0.6956236142449174,0.19067535748948986
test,thought,mean_token_logprob,feature_cvar,,50,20,0.6433333333333333,0.5458231045640146,0.20431421794095886,0.23286511183865202,0.6973223198621968,0.1517586550395113
test,thought,mean_token_logprob,binary_bayes,,50,20,0.5058333333333334,0.3880076605717925,0.1379031068165774,0.2638261267200087,0.7241909294913503,0.1765801109727367
test,thought,mean_token_logprob,binary_bayes_sep,,50,20,0.5483333333333333,0.4067521220446092,0.3391798474843475,0.2828911474141184,0.7751153917355137,0.22971724924213438
test,thought,mean_token_logprob,binary_bayes_lr_pos,,50,20,0.5816666666666667,0.42412351503207535,0.46840167235826635,0.2754282323047907,0.7507838891809,0.22618831019240843
test,thought,mean_token_logprob,binary_bayes_lr_neg,,50,20,0.59,0.4257560721185819,0.4837832085634491,0.2563411404974348,0.6909793222535048,0.27081740717967456
test,thought,mean_token_logprob,binary_bayes_double,,50,20,0.6016666666666667,0.43455785954848986,0.4629315290406671,0.2978621914008801,0.8525931654766097,0.28672965023627667
test,thought,mean_token_logprob,continuous_bayes,,50,20,0.675,0.5119561114625918,0.5138930603948239,0.258354900714976,0.7998701062747233,0.21732618581699628
test,thought,mean_token_logprob,tempered_continuous_bayes,,50,20,0.675,0.5119561114625918,0.5138930603948239,0.22817028865811928,0.6358436948781127,0.1682450526732333
test,thought,mean_token_logprob,bayes_state,,50,20,0.8225,0.9011681584773129,0.6743729027404939,0.1632491482613985,0.4968305653934244,0.08803381588087272
test,thought,mean_token_logprob,bayes_state_plus_binary,,50,20,0.8016666666666666,0.686477220391694,0.7297490602459724,0.17751654651523618,0.5243122096600848,0.12185143942421761
test,thought,mean_token_logprob,bayes_state_plus_sep,,50,20,0.7983333333333333,0.6833655554628242,0.7128394207686813,0.17868453148144478,0.5320417897911189,0.12325412903959851
test,thought,mean_token_logprob,bayes_state_plus_lr_pos,,50,20,0.8283333333333334,0.7329816714196977,0.7545816954857112,0.16986382847410916,0.5091130480674743,0.10586275544045563
test,thought,mean_token_logprob,bayes_state_plus_lr_neg,,50,20,0.8183333333333334,0.6696337250922335,0.7379687979875034,0.1696688595540624,0.500951035819171,0.15408373211634985
test,thought,mean_token_logprob,bayes_state_plus_double,,50,20,0.7433333333333333,0.5579736510738444,0.7052743069053887,0.20669389442425282,0.60568429768932,0.21411331282240345
test,thought,mean_token_logprob,bayes_state_plus_continuous,,50,20,0.7733333333333333,0.609489049301838,0.7801483145584158,0.21285138047160146,0.6605493498687558,0.19752109326436934
test,thought,mean_token_logprob,bayes_state_plus_tempered,,50,20,0.8366666666666667,0.76080051173595,0.8120619247196456,0.16197570184981067,0.4786097914201031,0.13165884345621928
test,thought,mean_token_logprob,stepwise_bayes_state,,50,20,0.5833333333333334,0.42344051096801316,0.5690732657959413,0.3417785302452435,1.1141715816542834,0.32955334628431754
test,thought,mean_token_logprob,stepwise_bayes_state_plus_binary,,50,20,0.5433333333333333,0.40253062572446296,0.44406954744432126,0.3562426320499349,1.115992222119957,0.3874079741412095
test,thought,mean_token_logprob,stepwise_bayes_state_plus_sep,,50,20,0.5716666666666667,0.41740731486014726,0.49239425491959377,0.35825502526288355,1.1219813451321345,0.40128240141233124
test,thought,mean_token_logprob,stepwise_bayes_state_plus_lr_pos,,50,20,0.5966666666666667,0.4294902670908566,0.5698230268541903,0.3447237628055003,1.0915810771278054,0.36148397841527946
test,thought,mean_token_logprob,stepwise_bayes_state_plus_lr_neg,,50,20,0.5533333333333333,0.41432837589510624,0.4905152159481991,0.3303768857502039,1.003769380908086,0.34921371783354427
test,thought,mean_token_logprob,stepwise_bayes_state_plus_double,,50,20,0.5983333333333334,0.4378595568613769,0.5628793313903352,0.3248967414864961,1.0374994338194008,0.3428403798885574
test,thought,mean_token_logprob,stepwise_bayes_state_plus_continuous,,50,20,0.5733333333333334,0.42704159976601774,0.44461993745194756,0.31935844395367446,1.0785271515629824,0.27510974607322686
test,thought,mean_token_logprob,stepwise_bayes_state_plus_tempered,,50,20,0.5916666666666667,0.42895610383570204,0.5502744455365879,0.33991122574393595,1.0696401796359631,0.3688816991780526
test,thought,sequence_probability,feature_last,,50,20,0.7166666666666667,0.5435144452737932,0.6303590792085195,0.21838699953174573,0.6324353032510214,0.15433136332234726
test,thought,sequence_probability,feature_mean,,50,20,0.7816666666666666,0.7665951329479508,0.5552319217436181,0.2264418495593385,0.6412953919036444,0.08682795341650244
test,thought,sequence_probability,feature_min,,50,20,0.4266666666666667,0.45635478556693815,-0.4142873858303761,0.24327239844793702,0.6807426866310596,0.07802513312989201
test,thought,sequence_probability,feature_max,,50,20,0.82,0.7651467623255549,0.7861714135814939,0.1993120958466034,0.5761618775098954,0.1246917715533113
test,thought,sequence_probability,feature_median,,50,20,0.8116666666666666,0.745170048987521,0.6916479583184105,0.22893326754234455,0.6481586861966682,0.08891101426120537
test,thought,sequence_probability,feature_ewma,,50,20,0.7483333333333333,0.6336184893353372,0.5531167338893498,0.21410226489632886,0.606643798880719,0.12858490434390527
test,thought,sequence_probability,feature_fraction_uncertain,,50,20,0.6325,0.6614857141671331,0.07312736465538311,0.22551661319887154,0.6437610122292483,0.10044414770292547
test,thought,sequence_probability,feature_last_k_mean,,50,20,0.7533333333333333,0.6277533947771362,0.5545815701865354,0.21283024657564437,0.6029777688397107,0.1361444338581962
test,thought,sequence_probability,feature_cvar,,50,20,0.3516666666666667,0.3645043260928962,-0.38623684449384477,0.24410540964053096,0.6819631676617979,0.0608253482868385
test,thought,sequence_probability,binary_bayes,,50,20,0.6933333333333334,0.5333513767860849,0.6445411745363848,0.221702095513003,0.6273037699288361,0.12219695766553898
test,thought,sequence_probability,binary_bayes_sep,,50,20,0.775,0.6285197525627759,0.8105974230941977,0.19504502196818052,0.5605806475243392,0.15699513407791046
test,thought,sequence_probability,binary_bayes_lr_pos,,50,20,0.4766666666666667,0.36654611842580914,0.18380081983165497,0.2693641286093145,0.7355431782198067,0.22053735182994963
test,thought,sequence_probability,binary_bayes_lr_neg,,50,20,0.31166666666666665,0.3066319766828827,-0.23546264427602853,0.2673597224041253,0.7323512315530276,0.20457835533700744
test,thought,sequence_probability,binary_bayes_double,,50,20,0.36833333333333335,0.3240800827973739,-0.03412618612427823,0.29873760737258964,0.8041985077800606,0.2907735655713735
test,thought,sequence_probability,continuous_bayes,,50,20,0.435,0.34873510684770437,0.05740265319734164,0.4227587655197004,1.729238252878335,0.43689994031857604
test,thought,sequence_probability,tempered_continuous_bayes,,50,20,0.435,0.34873510684770437,0.05740265319734164,0.27359219749427516,0.7284393770751076,0.27391959713478714
test,thought,sequence_probability,bayes_state,,50,20,0.8225,0.9011681584773129,0.6743729027404939,0.1632491482613985,0.4968305653934244,0.08803381588087272
test,thought,sequence_probability,bayes_state_plus_binary,,50,20,0.9216666666666666,0.9190381493506493,0.8374407183750964,0.12328874437176468,0.40682775165205626,0.1554826543100944
test,thought,sequence_probability,bayes_state_plus_sep,,50,20,0.94,0.8855257892692103,0.9791643211884793,0.1083594011681279,0.3616970260445913,0.1597367458130068
test,thought,sequence_probability,bayes_state_plus_lr_pos,,50,20,0.7916666666666666,0.6704324838440692,0.6273859540049774,0.1775479242928395,0.5338582130219822,0.1289810222580157
test,thought,sequence_probability,bayes_state_plus_lr_neg,,50,20,0.77,0.6496715724425044,0.5563913834746566,0.18005060445533969,0.5399948594679974,0.15462921270914085
test,thought,sequence_probability,bayes_state_plus_double,,50,20,0.75,0.6414631778787859,0.5202912088158075,0.19941028461602633,0.5897572456525417,0.14482518255324725
test,thought,sequence_probability,bayes_state_plus_continuous,,50,20,0.5516666666666666,0.4085152124203545,0.38015498290755095,0.3545766561177567,1.46362453649256,0.3546790373243468
test,thought,sequence_probability,bayes_state_plus_tempered,,50,20,0.78,0.6376190431379671,0.7548382107372321,0.1865531039018062,0.53930918880112,0.10164223822672311
test,thought,sequence_probability,stepwise_bayes_state,,50,20,0.5833333333333334,0.42344051096801316,0.5690732657959413,0.3417785302452435,1.1141715816542834,0.32955334628431754
test,thought,sequence_probability,stepwise_bayes_state_plus_binary,,50,20,0.6433333333333333,0.4598618056734871,0.6866078588353705,0.3256477349080146,1.0690387571388253,0.3528431371562091
test,thought,sequence_probability,stepwise_bayes_state_plus_sep,,50,20,0.64,0.46131565612836123,0.724292222756354,0.30208121509710273,0.9816075482054673,0.350769576926461
test,thought,sequence_probability,stepwise_bayes_state_plus_lr_pos,,50,20,0.545,0.4010641374760118,0.43102895194891155,0.3431038580581765,1.1127042716051379,0.340694082618338
test,thought,sequence_probability,stepwise_bayes_state_plus_lr_neg,,50,20,0.5716666666666667,0.41733556504461927,0.4439796461104662,0.346601618901208,1.12960319336007,0.3592744736814345
test,thought,sequence_probability,stepwise_bayes_state_plus_double,,50,20,0.5183333333333333,0.38769326947910876,0.40653723138274456,0.3493304927434404,1.1340740938106841,0.3501964000632071
test,thought,sequence_probability,stepwise_bayes_state_plus_continuous,,50,20,0.44166666666666665,0.3650777988531898,0.14273172558957364,0.423845314115644,2.2447086733090327,0.46188228894811184
test,thought,sequence_probability,stepwise_bayes_state_plus_tempered,,50,20,0.48833333333333334,0.3842889205017808,0.32347162211897595,0.3646092689390461,1.2556058613971455,0.4110986927368639
test,action,perplexity,feature_last,,50,20,0.415,0.3432587576427343,-0.05715962643031735,0.23907842356543507,0.6620844666104121,0.07346602849771232
test,action,perplexity,feature_mean,,50,20,0.25833333333333336,0.29224782212260225,-0.5908727398526357,0.2603357858412075,0.7165623412630816,0.13799148347120246
test,action,perplexity,feature_min,,50,20,0.6433333333333333,0.6512690267214261,0.2229890402643999,0.21756882748140247,0.6325500450671548,0.20774719818429166
test,action,perplexity,feature_max,,50,20,0.18666666666666668,0.27489146662212793,-0.9192244824513375,0.25075974139784757,0.69639715710758,0.09273970293096814
test,action,perplexity,feature_median,,50,20,0.5416666666666666,0.4447171209181505,0.20178021568424323,0.24191224014167312,0.6760100971698497,0.08244732645298448
test,action,perplexity,feature_ewma,,50,20,0.6583333333333333,0.4846060195251372,0.5055504287773331,0.23146169971965047,0.6475177411991718,0.10990731535665643
test,action,perplexity,feature_fraction_uncertain,,50,20,0.5425,0.6464331096886888,-0.23405857434932703,0.2439140045303792,0.6817322647670686,0.06220066522293374
test,action,perplexity,feature_last_k_mean,,50,20,0.4866666666666667,0.37446844339103935,0.18219869729074267,0.23778906013324214,0.6635261320294202,0.08296883032894108
test,action,perplexity,feature_cvar,,50,20,0.235,0.2863732368364051,-0.7028217873759263,0.25993754305502303,0.7156520299018502,0.13617025158498477
test,action,perplexity,binary_bayes,,50,20,0.48583333333333334,0.4200946811201115,-0.03964625412598371,0.2527043379734684,0.6975721729516561,0.1514838523542674
test,action,perplexity,binary_bayes_sep,,50,20,0.6583333333333333,0.47791632122197536,0.5807026821095304,0.2553893802000253,0.7287294073188193,0.1999862154162019
test,action,perplexity,binary_bayes_lr_pos,,50,20,0.47333333333333333,0.3817453824424838,0.15893354192799408,0.25100356762384995,0.6954073473954442,0.13367961167394493
test,action,perplexity,binary_bayes_lr_neg,,50,20,0.38333333333333336,0.32954947727709294,0.006341324996377417,0.2583032667162066,0.6956202303060814,0.23905263321114212
test,action,perplexity,binary_bayes_double,,50,20,0.4266666666666667,0.3837857344396894,0.1191173764283515,0.2634182124639105,0.7078045875779694,0.28691257422668864
test,action,perplexity,continuous_bayes,,50,20,0.6183333333333333,0.5085045281308493,0.5924592120406483,0.5408432671303471,4.852667574767612,0.5483363725500119
test,action,perplexity,tempered_continuous_bayes,,50,20,0.7033333333333334,0.4961418604419844,0.8164627791515228,0.4799445264219051,2.3412907609774614,0.5152533483205689
test,action,perplexity,bayes_state,,50,20,0.8225,0.9011681584773129,0.6743729027404939,0.1632491482613985,0.4968305653934244,0.08803381588087272
test,action,perplexity,bayes_state_plus_binary,,50,20,0.8133333333333334,0.7711724724899446,0.7011559085601434,0.174796943289865,0.5158405698050756,0.09830407077526136
test,action,perplexity,bayes_state_plus_sep,,50,20,0.7883333333333333,0.6022568993680459,0.816985873983103,0.18653395853588556,0.5577486498183064,0.1840468600134021
test,action,perplexity,bayes_state_plus_lr_pos,,50,20,0.795,0.6540718124080765,0.6790844853767984,0.1701232725146129,0.5127679218432597,0.1795776586672746
test,action,perplexity,bayes_state_plus_lr_neg,,50,20,0.7533333333333333,0.622209775278829,0.5868085677306406,0.18729287170499984,0.5351917334990839,0.11218664353183326
